Day,Date,CodedDay,Zone,Weather,Temperature,Traffic
Sunday,25-11-18,3,8,36,12,4
Monday,26-11-18,3,5,34,19,2
Tuesday,27-11-18,3,7,40,16,3
Wednesday,28-11-18,3,10,10,40,3
Thursday,29-11-18,3,10,32,45,1
Friday,30-11-18,3,5,48,18,5
Saturday,01-12-18,3,7,38,24,4
Sunday,02-12-18,3,3,22,33,5
Monday,03-12-18,3,1,13,44,3
Tuesday,04-12-18,3,1,36,37,2
Wednesday,05-12-18,3,3,45,17,5
Thursday,06-12-18,3,2,46,21,3
Friday,07-12-18,3,4,11,36,2
Saturday,08-12-18,3,5,23,11,3
Sunday,09-12-18,3,4,37,38,3
Monday,10-12-18,3,8,47,6,1
Tuesday,11-12-18,3,10,50,14,5
Wednesday,12-12-18,3,2,20,25,3
Thursday,13-12-18,3,3,28,8,5
Friday,14-12-18,3,4,21,45,3
Saturday,15-12-18,3,10,47,31,5
Sunday,16-12-18,3,9,31,28,4
Monday,17-12-18,3,9,41,26,2
Tuesday,18-12-18,3,9,46,31,2
Wednesday,19-12-18,3,4,29,39,4
Thursday,20-12-18,3,4,18,18,5
Friday,21-12-18,3,9,11,27,5
Saturday,22-12-18,3,4,28,19,3
Sunday,23-12-18,3,1,42,11,4
Monday,24-12-18,3,10,37,35,2
Tuesday,25-12-18,3,4,31,39,5
Wednesday,26-12-18,3,9,27,20,3
Thursday,27-12-18,3,2,11,39,2
Friday,28-12-18,3,8,42,23,1
Saturday,29-12-18,3,1,11,27,3
Sunday,30-12-18,3,10,42,12,1
Monday,31-12-18,3,9,34,40,3
Tuesday,01-01-19,3,4,35,13,3
Wednesday,02-01-19,3,7,34,43,4
Thursday,03-01-19,3,1,37,12,3
Friday,04-01-19,3,7,41,28,3
Saturday,05-01-19,3,2,31,6,3
Sunday,06-01-19,3,4,11,23,5
Monday,07-01-19,3,10,20,32,5
Tuesday,08-01-19,3,1,22,29,1
Wednesday,09-01-19,3,4,26,36,1
Thursday,10-01-19,3,1,33,22,5
Friday,11-01-19,3,2,12,24,2
Saturday,12-01-19,3,2,47,19,4
Sunday,13-01-19,3,7,19,10,2
Monday,14-01-19,3,1,39,44,1
Tuesday,15-01-19,3,1,11,7,4
Wednesday,16-01-19,3,10,11,44,5
Thursday,17-01-19,3,8,22,34,3
Friday,18-01-19,3,7,29,14,3
Saturday,19-01-19,3,8,43,16,1
Sunday,20-01-19,3,3,26,27,5
Monday,21-01-19,3,6,40,42,3
Tuesday,22-01-19,3,7,40,41,4
Wednesday,23-01-19,3,2,10,26,4
Thursday,24-01-19,3,8,13,7,1
Friday,25-01-19,3,10,37,37,1
Saturday,26-01-19,3,6,40,26,3
Sunday,27-01-19,3,9,42,16,5
Monday,28-01-19,3,8,13,9,2
Tuesday,29-01-19,3,2,29,33,1
Wednesday,30-01-19,3,5,23,43,4
Thursday,31-01-19,3,4,25,42,5
Friday,01-02-19,3,6,30,24,5
Saturday,02-02-19,3,6,45,8,2
Sunday,03-02-19,3,4,22,5,2
Monday,04-02-19,3,3,47,35,1
Tuesday,05-02-19,3,6,24,7,1
Wednesday,06-02-19,3,2,29,43,1
Thursday,07-02-19,3,9,42,27,5
Friday,08-02-19,3,5,49,20,5
Saturday,09-02-19,3,7,23,27,2
Sunday,10-02-19,3,2,10,39,3
Monday,11-02-19,3,1,16,16,1
Tuesday,12-02-19,3,7,41,30,1
Wednesday,13-02-19,3,3,45,33,5
Thursday,14-02-19,3,9,12,29,5
Friday,15-02-19,3,2,49,18,1
Saturday,16-02-19,3,1,11,9,4
Sunday,17-02-19,3,5,14,37,1
Monday,18-02-19,3,4,48,27,2
Tuesday,19-02-19,3,1,22,28,4
Wednesday,20-02-19,3,4,29,9,4
Thursday,21-02-19,3,6,17,41,3
Friday,22-02-19,3,7,40,43,3
Saturday,23-02-19,3,7,46,43,4
Sunday,24-02-19,3,3,25,13,1
Monday,25-02-19,3,2,19,33,4
Tuesday,26-02-19,3,6,12,15,5
Wednesday,27-02-19,3,5,10,38,2
Thursday,28-02-19,3,8,27,40,4
Friday,01-03-19,3,3,42,18,4
Saturday,02-03-19,3,6,20,15,5
Sunday,03-03-19,3,9,39,10,5
Monday,04-03-19,3,9,25,8,4
Tuesday,05-03-19,3,1,17,7,2
Wednesday,06-03-19,3,4,39,43,1
Thursday,07-03-19,3,6,34,20,1
Friday,08-03-19,3,5,45,18,5
Saturday,09-03-19,3,8,19,35,5
Sunday,10-03-19,3,7,49,15,2
Monday,11-03-19,3,10,28,7,1
Tuesday,12-03-19,3,3,46,41,5
Wednesday,13-03-19,3,1,28,38,3
Thursday,14-03-19,3,5,22,18,4
Friday,15-03-19,3,10,32,19,1
Saturday,16-03-19,3,2,22,17,3
Sunday,17-03-19,3,2,48,22,2
Monday,18-03-19,3,6,32,22,3
Tuesday,19-03-19,3,5,25,45,4
Wednesday,20-03-19,3,6,30,33,3
Thursday,21-03-19,3,4,23,8,2
Friday,22-03-19,3,3,30,20,1
Saturday,23-03-19,3,3,19,14,2
Sunday,24-03-19,3,3,11,44,1
Monday,25-03-19,3,3,21,20,5
Tuesday,26-03-19,3,6,26,7,1
Wednesday,27-03-19,3,7,35,37,5
Thursday,28-03-19,3,1,44,23,2
Friday,29-03-19,3,7,13,11,5
Saturday,30-03-19,3,2,10,32,1
Sunday,31-03-19,3,8,20,22,5
Monday,01-04-19,3,7,49,17,3
Tuesday,02-04-19,3,9,24,43,5
Wednesday,03-04-19,3,6,25,15,5
Thursday,04-04-19,3,5,37,42,5
Friday,05-04-19,3,1,21,19,2
Saturday,06-04-19,3,9,47,43,2
Sunday,07-04-19,3,2,31,11,1
Monday,08-04-19,3,1,28,22,3
Tuesday,09-04-19,3,10,47,12,4
Wednesday,10-04-19,3,5,17,43,4
Thursday,11-04-19,3,10,12,17,1
Friday,12-04-19,3,6,10,16,4
Saturday,13-04-19,3,4,46,43,5
Sunday,14-04-19,3,10,15,10,2
Monday,15-04-19,3,7,22,27,4
Tuesday,16-04-19,3,4,30,23,1
Wednesday,17-04-19,3,4,22,22,4
Thursday,18-04-19,3,6,18,24,1
Friday,19-04-19,3,8,22,28,2
Saturday,20-04-19,3,1,31,18,5
Sunday,21-04-19,3,9,24,12,4
Monday,22-04-19,3,6,49,32,3
Tuesday,23-04-19,3,8,25,14,5
Wednesday,24-04-19,3,2,19,18,4
Thursday,25-04-19,3,2,41,16,5
Friday,26-04-19,3,2,31,36,3
Saturday,27-04-19,3,6,11,6,1
Sunday,28-04-19,3,10,15,29,3
Monday,29-04-19,3,5,17,24,4
Tuesday,30-04-19,3,6,30,32,4
Wednesday,01-05-19,3,4,46,42,5
Thursday,02-05-19,3,10,23,20,2
Friday,03-05-19,3,2,21,29,5
Saturday,04-05-19,3,4,30,11,2
Sunday,05-05-19,3,3,29,7,4
Monday,06-05-19,3,2,20,36,1
Tuesday,07-05-19,3,7,28,39,3
Wednesday,08-05-19,3,8,40,20,2
Thursday,09-05-19,3,3,45,14,2
Friday,10-05-19,3,8,20,17,5
Saturday,11-05-19,3,8,49,20,2
Sunday,12-05-19,3,5,26,23,1
Monday,13-05-19,3,7,10,41,4
Tuesday,14-05-19,3,6,36,20,5
Wednesday,15-05-19,3,10,29,28,4
Thursday,16-05-19,3,9,12,10,1
Friday,17-05-19,3,10,20,27,1
Saturday,18-05-19,3,4,27,11,5
Sunday,19-05-19,3,5,30,35,5
Monday,20-05-19,3,6,10,38,1
Tuesday,21-05-19,3,9,13,35,2
Wednesday,22-05-19,3,7,14,14,3
Thursday,23-05-19,3,7,48,25,4
Friday,24-05-19,3,1,25,17,2
Saturday,25-05-19,3,2,24,31,2
Sunday,26-05-19,3,4,12,45,1
Monday,27-05-19,3,8,50,42,3
Tuesday,28-05-19,3,9,23,27,4
Wednesday,29-05-19,3,8,48,22,1
Thursday,30-05-19,3,5,28,31,1
Friday,31-05-19,3,1,34,15,2
Saturday,01-06-19,3,5,36,31,5
Sunday,02-06-19,3,5,40,8,1
Monday,03-06-19,3,6,26,6,4
Tuesday,04-06-19,3,10,38,33,5
Wednesday,05-06-19,3,7,26,45,4
Thursday,06-06-19,3,6,19,35,1
Friday,07-06-19,3,9,39,31,1
Saturday,08-06-19,3,5,37,32,5
Sunday,09-06-19,3,6,37,39,5
Monday,10-06-19,3,3,11,30,5
Tuesday,11-06-19,3,4,26,8,4
Wednesday,12-06-19,3,8,47,6,1
Thursday,13-06-19,3,9,11,27,5
Friday,14-06-19,3,9,30,11,3
Saturday,15-06-19,3,8,44,33,2
Sunday,16-06-19,3,7,21,8,5
Monday,17-06-19,3,8,24,12,2
Tuesday,18-06-19,3,3,36,40,3
Wednesday,19-06-19,3,8,23,18,4
Thursday,20-06-19,3,7,18,18,5
Friday,21-06-19,3,10,40,10,1
Saturday,22-06-19,3,10,17,10,1
Sunday,23-06-19,3,7,38,42,1
Monday,24-06-19,3,5,28,15,3
Tuesday,25-06-19,3,8,12,29,3
Wednesday,26-06-19,3,6,17,32,5
Thursday,27-06-19,3,7,37,15,5
Friday,28-06-19,3,10,37,18,2
Saturday,29-06-19,3,8,15,27,1
Sunday,30-06-19,3,8,25,20,4
Monday,01-07-19,3,4,22,45,4
Tuesday,02-07-19,3,1,41,30,5
Wednesday,03-07-19,3,9,32,40,5
Thursday,04-07-19,3,6,33,39,3
Friday,05-07-19,3,1,32,10,3
Saturday,06-07-19,3,3,38,28,2
Sunday,07-07-19,3,1,40,24,5
Monday,08-07-19,3,7,41,18,4
Tuesday,09-07-19,3,1,42,39,4
Wednesday,10-07-19,3,3,25,39,1
Thursday,11-07-19,3,8,44,16,2
Friday,12-07-19,3,3,35,20,5
Saturday,13-07-19,3,5,35,20,3
Sunday,14-07-19,3,1,22,13,2
Monday,15-07-19,3,2,24,13,4
Tuesday,16-07-19,3,10,41,39,2
Wednesday,17-07-19,3,5,47,29,1
Thursday,18-07-19,3,2,44,35,1
Friday,19-07-19,3,10,34,13,3
Saturday,20-07-19,3,6,46,42,5
Sunday,21-07-19,3,7,23,7,1
Monday,22-07-19,3,3,45,7,2
Tuesday,23-07-19,3,6,49,39,4
Wednesday,24-07-19,3,7,36,9,2
Thursday,25-07-19,3,10,21,21,5
Friday,26-07-19,3,6,41,34,1
Saturday,27-07-19,3,8,14,19,2
Sunday,28-07-19,3,6,12,16,4
Monday,29-07-19,3,1,43,22,4
Tuesday,30-07-19,3,3,31,45,1
Wednesday,31-07-19,3,1,18,8,3
Thursday,01-08-19,3,8,41,40,2
Friday,02-08-19,3,1,25,28,2
Saturday,03-08-19,3,6,49,40,5
Sunday,04-08-19,3,7,17,16,1
Monday,05-08-19,3,4,44,30,1
Tuesday,06-08-19,3,7,19,12,2
Wednesday,07-08-19,3,6,10,21,4
Thursday,08-08-19,3,1,37,37,5
Friday,09-08-19,3,8,20,5,1
Saturday,10-08-19,3,7,34,40,5
Sunday,11-08-19,3,4,50,38,5
Monday,12-08-19,3,8,34,22,4
Tuesday,13-08-19,3,5,36,7,5
Wednesday,14-08-19,3,3,46,23,4
Thursday,15-08-19,3,8,19,18,5
Friday,16-08-19,3,5,28,24,3
Saturday,17-08-19,3,6,43,13,4
Sunday,18-08-19,3,5,45,20,3
Monday,19-08-19,3,6,10,22,1
Tuesday,20-08-19,3,5,47,18,3
Wednesday,21-08-19,3,5,37,38,2
Thursday,22-08-19,3,4,23,38,3
Friday,23-08-19,3,4,37,14,1
Saturday,24-08-19,3,3,14,19,5
Sunday,25-08-19,3,10,35,28,1
Monday,26-08-19,3,3,46,20,3
Tuesday,27-08-19,3,2,39,45,3
Wednesday,28-08-19,3,7,20,17,5
Thursday,29-08-19,3,2,40,31,4
Friday,30-08-19,3,8,39,37,3
Saturday,31-08-19,3,4,23,13,2
Sunday,01-09-19,3,1,24,38,4
Monday,02-09-19,3,4,49,14,3
Tuesday,03-09-19,3,10,21,31,1
Wednesday,04-09-19,3,6,17,37,3
Thursday,05-09-19,3,7,21,26,5
Friday,06-09-19,3,5,32,43,2
Saturday,07-09-19,3,10,40,42,3
Sunday,08-09-19,3,9,23,27,2
Monday,09-09-19,3,1,24,9,2
Tuesday,10-09-19,3,4,39,42,2
Wednesday,11-09-19,3,5,34,36,3
Thursday,12-09-19,3,10,44,8,4
Friday,13-09-19,3,2,36,35,1
Saturday,14-09-19,3,1,13,30,2
Sunday,15-09-19,3,10,30,8,5
Monday,16-09-19,3,4,47,44,2
Tuesday,17-09-19,3,2,30,12,1
Wednesday,18-09-19,3,10,49,6,1
Thursday,19-09-19,3,5,18,41,1
Friday,20-09-19,3,8,24,38,5
Saturday,21-09-19,3,9,47,40,1
Sunday,22-09-19,3,9,42,28,5
Monday,23-09-19,3,4,30,40,5
Tuesday,24-09-19,3,1,42,16,3
Wednesday,25-09-19,3,4,27,6,5
Thursday,26-09-19,3,5,10,20,3
Friday,27-09-19,3,8,22,32,3
Saturday,28-09-19,3,6,40,32,4
Sunday,29-09-19,3,2,46,15,1
Monday,30-09-19,3,8,14,41,2
Tuesday,01-10-19,3,6,17,25,3
Wednesday,02-10-19,3,10,17,7,1
Thursday,03-10-19,3,5,35,36,3
Friday,04-10-19,3,4,24,32,5
Saturday,05-10-19,3,9,26,26,1
Sunday,06-10-19,3,9,41,41,1
Monday,07-10-19,3,5,37,43,5
Tuesday,08-10-19,3,1,31,38,5
Wednesday,09-10-19,3,2,19,30,5
Thursday,10-10-19,3,8,18,37,2
Friday,11-10-19,3,10,48,13,1
Saturday,12-10-19,3,2,35,8,5
Sunday,13-10-19,3,9,12,42,3
Monday,14-10-19,3,2,37,11,1
Tuesday,15-10-19,3,4,42,23,3
Wednesday,16-10-19,3,3,31,19,3
Thursday,17-10-19,3,9,17,41,2
Friday,18-10-19,3,3,31,35,5
Saturday,19-10-19,3,4,48,14,2
Sunday,20-10-19,3,3,45,13,5
Monday,21-10-19,3,1,40,34,3
Tuesday,22-10-19,3,7,39,15,2
Wednesday,23-10-19,3,3,10,25,5
Thursday,24-10-19,3,7,48,36,3
Friday,25-10-19,3,10,31,26,2
Saturday,26-10-19,3,8,19,22,3
Sunday,27-10-19,3,10,16,26,2
Monday,28-10-19,3,5,31,35,2
Tuesday,29-10-19,3,1,17,13,4
Wednesday,30-10-19,3,3,43,43,5
Thursday,31-10-19,3,3,14,11,1
Friday,01-11-19,3,3,28,21,2
Saturday,02-11-19,3,7,46,18,2
Sunday,03-11-19,3,6,43,5,1
Monday,04-11-19,3,4,21,28,2
Tuesday,05-11-19,3,4,44,40,4
Wednesday,06-11-19,3,5,35,34,1
Thursday,07-11-19,3,9,10,26,2
Friday,08-11-19,3,10,17,27,4
Saturday,09-11-19,3,2,23,43,2
Sunday,10-11-19,3,10,31,31,3
Monday,11-11-19,3,9,37,13,2
Tuesday,12-11-19,3,3,27,33,1
Wednesday,13-11-19,3,4,35,15,5
Thursday,14-11-19,3,1,16,43,2
Friday,15-11-19,3,7,11,5,3
Saturday,16-11-19,3,8,45,34,2
Sunday,17-11-19,3,5,25,7,2
Monday,18-11-19,3,4,10,39,1
Tuesday,19-11-19,3,7,12,41,1
Wednesday,20-11-19,3,7,27,37,1
Thursday,21-11-19,3,5,33,24,5
Friday,22-11-19,3,2,31,31,3
Saturday,23-11-19,3,5,45,5,5
Sunday,24-11-19,3,9,45,21,4
Monday,25-11-19,3,9,45,30,2
Tuesday,26-11-19,3,6,11,21,5
Wednesday,27-11-19,3,2,39,7,4
Thursday,28-11-19,3,10,42,33,2
Friday,29-11-19,3,3,11,30,4
Saturday,30-11-19,3,4,29,7,3
Sunday,01-12-19,3,6,46,39,1
Monday,02-12-19,3,8,18,7,1
Tuesday,03-12-19,3,3,39,23,1
Wednesday,04-12-19,3,10,43,28,2
Thursday,05-12-19,3,1,40,8,5
Friday,06-12-19,3,2,12,42,3
Saturday,07-12-19,3,6,32,5,1
Sunday,08-12-19,3,2,23,6,3
Monday,09-12-19,3,9,45,39,4
Tuesday,10-12-19,3,10,27,30,5
Wednesday,11-12-19,3,8,50,35,4
Thursday,12-12-19,3,7,19,40,3
Friday,13-12-19,3,9,29,13,1
Saturday,14-12-19,3,6,40,32,1
Sunday,15-12-19,3,5,30,26,3
Monday,16-12-19,3,5,37,37,5
Tuesday,17-12-19,3,3,24,11,5
Wednesday,18-12-19,3,7,33,22,4
Thursday,19-12-19,3,2,29,40,2
Friday,20-12-19,3,3,26,18,1
Saturday,21-12-19,3,10,25,29,2
Sunday,22-12-19,3,4,39,19,4
Monday,23-12-19,3,4,40,27,4
Tuesday,24-12-19,3,2,49,19,5
Wednesday,25-12-19,3,2,31,7,2
Thursday,26-12-19,3,5,12,5,5
Friday,27-12-19,3,6,49,8,3
Saturday,28-12-19,3,9,18,34,3
Sunday,29-12-19,3,7,21,45,5
Monday,30-12-19,3,9,10,42,4
Tuesday,31-12-19,3,5,22,37,5
Wednesday,01-01-20,3,2,35,30,2
Thursday,02-01-20,3,9,46,10,1
Friday,03-01-20,3,8,17,38,3
Saturday,04-01-20,3,4,36,23,5
Sunday,05-01-20,3,6,50,43,5
Monday,06-01-20,3,5,10,26,5
Tuesday,07-01-20,3,2,11,32,3
Wednesday,08-01-20,3,2,44,22,4
Thursday,09-01-20,3,7,21,41,5
Friday,10-01-20,3,4,50,24,3
Saturday,11-01-20,3,3,47,14,1
Sunday,12-01-20,3,2,47,10,4
Monday,13-01-20,3,9,34,6,2
Tuesday,14-01-20,3,1,32,9,5
Wednesday,15-01-20,3,5,11,31,2
Thursday,16-01-20,3,10,19,15,3
Friday,17-01-20,3,7,35,8,4
Saturday,18-01-20,3,10,12,40,1
Sunday,19-01-20,3,9,50,16,5
Monday,20-01-20,3,8,15,10,5
Tuesday,21-01-20,3,4,19,34,5
Wednesday,22-01-20,3,9,33,35,5
Thursday,23-01-20,3,4,16,12,4
Friday,24-01-20,3,8,13,6,5
Saturday,25-01-20,3,1,32,15,3
Sunday,26-01-20,3,1,49,24,1
Monday,27-01-20,3,4,17,26,4
Tuesday,28-01-20,3,6,10,13,4
Wednesday,29-01-20,3,8,16,36,2
Thursday,30-01-20,3,6,21,26,4
Friday,31-01-20,3,3,24,41,1
Saturday,01-02-20,3,9,18,11,1
Sunday,02-02-20,3,1,34,27,3
Monday,03-02-20,3,8,26,27,1
Tuesday,04-02-20,3,4,25,27,3
Wednesday,05-02-20,3,10,28,39,5
Thursday,06-02-20,3,6,31,5,3
Friday,07-02-20,3,4,14,43,3
Saturday,08-02-20,3,5,27,29,1
Sunday,09-02-20,3,10,16,17,1
Monday,10-02-20,3,3,34,24,1
Tuesday,11-02-20,3,7,19,28,1
Wednesday,12-02-20,3,8,10,14,5
Thursday,13-02-20,3,5,27,25,3
Friday,14-02-20,3,9,10,6,4
Saturday,15-02-20,3,1,34,7,4
Sunday,16-02-20,3,8,28,5,1
Monday,17-02-20,3,3,23,33,3
Tuesday,18-02-20,3,4,15,22,3
Wednesday,19-02-20,3,3,11,45,2
Thursday,20-02-20,3,1,31,24,3
Friday,21-02-20,3,9,22,42,2
Saturday,22-02-20,3,1,28,36,1
Sunday,23-02-20,3,8,39,44,1
Monday,24-02-20,3,9,31,36,3
Tuesday,25-02-20,3,1,45,40,5
Wednesday,26-02-20,3,7,13,26,3
Thursday,27-02-20,3,7,13,9,4
Friday,28-02-20,3,10,23,36,1
Saturday,29-02-20,3,4,18,19,2
Sunday,01-03-20,3,5,47,36,5
Monday,02-03-20,3,5,26,28,2
Tuesday,03-03-20,3,8,39,35,3
Wednesday,04-03-20,3,8,50,14,4
Thursday,05-03-20,3,6,46,33,1
Friday,06-03-20,3,2,50,7,4
Saturday,07-03-20,3,4,45,11,1
Sunday,08-03-20,3,6,30,33,5
Monday,09-03-20,3,9,26,32,3
Tuesday,10-03-20,3,2,26,31,1
Wednesday,11-03-20,3,6,26,13,5
Thursday,12-03-20,3,3,18,38,2
Friday,13-03-20,3,5,36,32,4
Saturday,14-03-20,3,9,49,12,4
Sunday,15-03-20,3,8,42,40,1
Monday,16-03-20,3,7,16,18,3
Tuesday,17-03-20,3,7,40,39,3
Wednesday,18-03-20,3,3,38,16,4
Thursday,19-03-20,3,10,25,7,1
Friday,20-03-20,3,5,26,31,2
Saturday,21-03-20,3,6,44,6,4
Sunday,22-03-20,3,6,10,12,1
Monday,23-03-20,3,4,50,32,5
Tuesday,24-03-20,3,1,34,34,2
